"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","kingdom","phylum","class","order"
"EC:1.3.7.2","EC:1.3.7.2",3,0,0.345979632539942,0,6.90292462685803e-07,"M41",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With an iron-sulfur protein as acceptor.","o__EC:1.3.7.2"
"EC:1.3.7.3","EC:1.3.7.3",3,0,0.345979632539942,0,6.90292462685803e-07,"M41",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With an iron-sulfur protein as acceptor.","o__EC:1.3.7.3"
"EC:1.3.8.10","EC:1.3.8.10",1,0,1,0,1.8698812786026e-05,"M115",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a flavin as acceptor.","o__EC:1.3.8.10"
"EC:1.3.8.11","EC:1.3.8.11",1,0,1,0,1.8698812786026e-05,"M115",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a flavin as acceptor.","o__EC:1.3.8.11"
"EC:1.3.8.3","EC:1.3.8.3",1,0,1.01134805180314,0,1.41281945959724e-05,"M88",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a flavin as acceptor.","o__EC:1.3.8.3"
"EC:1.8.4.9","EC:1.8.4.9",1,0,1,0,9.57658410957962e-07,"M116",NA,NA,NA,"k__Oxidoreductases.","p__Acting on a sulfur group of donors.","c__With a disulfide as acceptor.","o__EC:1.8.4.9"
"EC:2.1.1.243","EC:2.1.1.243",1,0,1.00558638453384,0,9.27904879957827e-05,"M90",NA,NA,NA,"k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.243"
"EC:2.1.4.2","EC:2.1.4.2",1,0,1.00558638453384,0,9.27253083073271e-05,"M90",NA,NA,NA,"k__Transferases.","p__Transferring one-carbon groups.","c__Amidinotransferases.","o__EC:2.1.4.2"
"EC:2.3.1.86","EC:2.3.1.86",3,0,0.346130484702947,0,6.7667765921981e-07,"M41",NA,NA,NA,"k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.86"
"EC:2.4.1.56","EC:2.4.1.56",1,0,1,0,1.69033308291284e-06,"M113",NA,NA,NA,"k__Transferases.","p__Glycosyltransferases.","c__Hexosyltransferases.","o__EC:2.4.1.56"
