sample	qPCR
NRCS79	4.72E+08
NRCS8	3.64E+09
NRCS80	1.12E+09
NRCS81	1.22E+09
NRCS82	1.37E+09
NRCS83	1.36E+09
NRCS84	1.36E+09
NRCS85	1.19E+09
NRCS86	1.79E+09
NRCS87	1.43E+09
NRCS88	9.09E+08
NRCS89	1.49E+09
NRCS9	4.31E+09
NRCS90	1.27E+09
NRCS91	1.39E+09
NRCS92	2.15E+09
NRCS93	1.86E+09
NRCS94	3.39E+09
NRCS95	1.22E+09
NRCS96	1.33E+09
NRCS97	1.69E+09
NRCS98	1.58E+09
NRCS99	1.28E+09
NRCSMockv2-1	
NRCSMockv2-2	
NRCSMockv2-3	
NRCSZymomock-1	
NRCSZymomock-2	
NRCSZymoMock-4	
OR1Cent1a_1	2.07E+09
OR1Cent1a_1	
OR1Cent1a_2	
OR1Cent1a_3	
OR1Cent1b_1	1.45E+09
OR1Cent1b_1	
OR1Cent1b_2	
OR1Cent1b_3	
OR2Cas1a_1	1.14E+09
OR2Cas1a_1	
OR2Cas1a_2	
OR2Cas1a_3	
OR2Cas1b_1	1.30E+09
OR2Cas1b_1	
OR2Cas1b_2	
OR2Cas1b_3	
OR2Cas2a_1	3.00E+09
OR2Cas2a_1	
OR2Cas2a_2	
OR2Cas2a_3	
OR2Cas2b_1	1.67E+09
OR2Cas2b_1	
OR2Cas2b_2	
OR2Cas2b_3	
OR2Cent1a_1	1.42E+09
OR2Cent1a_1	
OR2Cent1a_2	
OR2Cent1a_3	
OR2Cent1b_1	2.12E+09
OR2Cent1b_1	
OR2Cent1b_2	
OR2Cent1b_3	
OR2Cent2a_1	2.20E+09
OR2Cent2a_1	
OR2Cent2a_2	
OR2Cent2a_3	
OR2Cent2b_1	2.47E+09
OR2Cent2b_1	
OR2Cent2b_2	
OR2Cent2b_3	
OR3Cas1a_1	2.08E+09
OR3Cas1a_1	
OR3Cas1a_2	
OR3Cas1a_3	
OR3Cas1b_1	2.26E+09
OR3Cas1b_1	
OR3Cas1b_2	
OR3Cas1b_3	
OR3Cas2a_1	2.22E+09
OR3Cas2a_1	
OR3Cas2a_2	
OR3Cas2a_3	
OR3Cas2b_1	1.28E+09
OR3Cas2b_1	
OR3Cas2b_2	
OR3Cas2b_3	
WA1Cas1a_1	2.15E+09
WA1Cas1a_1	
WA1Cas1a_2	
WA1Cas1a_3	
WA1Cas1b_1	1.76E+09
WA1Cas1b_1	
WA1Cas1b_2	
WA1Cas1b_3	
WA1Cas1c_1	1.26E+09
WA1Cas1c_1	
WA1Cas1c_2	
WA1Cas1c_3	
WA1Cent1a_1	1.31E+09
WA1Cent1a_1	
WA1Cent1a_2	
WA1Cent1a_3	
WA1Cent1b_1	2.00E+09
WA1Cent1b_1	
WA1Cent1b_2	
WA1Cent1b_3	
WA1Cent1c_1	1.98E+09
WA1Cent1c_1	
WA1Cent1c_2	
WA1Cent1c_3	
WA2Cas2a_1	2.33E+09
WA2Cas2a_1	
WA2Cas2a_2	
WA2Cas2a_3	
WA2Cas2b_1	4.28E+09
WA2Cas2b_1	
WA2Cas2b_2	
WA2Cas2b_3	
WA2Cas2c_1	3.21E+09
WA2Cas2c_1	
WA2Cas2c_2	
WA2Cas2c_3	
WA2Cent2a_1	2.60E+09
WA2Cent2a_1	
WA2Cent2a_2	
WA2Cent2a_3	
WA2Cent2b_1	2.51E+09
WA2Cent2b_1	
WA2Cent2b_2	
WA2Cent2b_3	
WA2Cent2c_1	2.65E+09
WA2Cent2c_1	
WA2Cent2c_2	
WA2Cent2c_3	
WA3Cas1a_1	1.10E+09
WA3Cas1a_1	
WA3Cas1a_2	
WA3Cas1a_3	
WA3Cas1b_1	1.99E+09
WA3Cas1b_1	
WA3Cas1b_2	
WA3Cas1b_3	
WA3Cas2a_1	2.76E+09
WA3Cas2a_1	
WA3Cas2a_2	
WA3Cas2a_3	
WA3Cas2b_1	2.12E+09
WA3Cas2b_1	
WA3Cas2b_2	
WA3Cas2b_3	
WA3Cent1a_1	3.68E+09
WA3Cent1a_1	
WA3Cent1a_2	
WA3Cent1a_3	
WA3Cent1b_1	4.08E+09
WA3Cent1b_1	
WA3Cent1b_2	
WA3Cent1b_3	
WA3Cent2a_1	3.26E+09
WA3Cent2a_1	
WA3Cent2a_2	
WA3Cent2a_3	
