SampleID	PLFA_ID
OR2Cas1b_1	
OR2Cas1b_2	
OR2Cas1b_3	
OR2Cas2a_1	
OR2Cas2a_2	
OR2Cas2a_3	
OR2Cas2b_1	
OR2Cas2b_2	
OR2Cas2b_3	
OR2Cent1a_1	
OR2Cent1a_2	
OR2Cent1a_3	
OR2Cent1b_1	
OR2Cent1b_2	
OR2Cent1b_3	
OR2Cent2a_1	
OR2Cent2a_2	
OR2Cent2a_3	
OR2Cent2b_1	
OR2Cent2b_2	
OR2Cent2b_3	
OR3Cas1a_1	
OR3Cas1a_2	
OR3Cas1a_3	
OR3Cas1b_1	
OR3Cas1b_2	
OR3Cas1b_3	
OR3Cas2a_1	
OR3Cas2a_2	
OR3Cas2a_3	
OR3Cas2b_1	
OR3Cas2b_2	
OR3Cas2b_3	
WA1Cas1a_1	
WA1Cas1a_2	
WA1Cas1a_3	
WA1Cas1b_1	
WA1Cas1b_2	
WA1Cas1b_3	
WA1Cas1c_1	
WA1Cas1c_2	
WA1Cas1c_3	
WA1Cent1a_1	
WA1Cent1a_2	
WA1Cent1a_3	
WA1Cent1b_1	
WA1Cent1b_2	
WA1Cent1b_3	
WA1Cent1c_1	
WA1Cent1c_2	
WA1Cent1c_3	
WA2Cas2a_1	
WA2Cas2a_2	
WA2Cas2a_3	
WA2Cas2b_1	
WA2Cas2b_2	
WA2Cas2b_3	
WA2Cas2c_1	
WA2Cas2c_2	
WA2Cas2c_3	
WA2Cent2a_1	
WA2Cent2a_2	
WA2Cent2a_3	
WA2Cent2b_1	
WA2Cent2b_2	
WA2Cent2b_3	
WA2Cent2c_1	
WA2Cent2c_2	
WA2Cent2c_3	
WA3Cas1a_1	
WA3Cas1a_2	
WA3Cas1a_3	
WA3Cas1b_1	
WA3Cas1b_2	
WA3Cas1b_3	
WA3Cas2a_1	
WA3Cas2a_2	
WA3Cas2a_3	
WA3Cas2b_1	
WA3Cas2b_2	
WA3Cas2b_3	
WA3Cent1a_1	
WA3Cent1a_2	
WA3Cent1a_3	
WA3Cent1b_1	
WA3Cent1b_2	
WA3Cent1b_3	
WA3Cent2a_1	
WA3Cent2a_2	
WA3Cent2a_3	
WA3Cent2b_1	
WA3Cent2b_2	
WA3Cent2b_3	
WA4Cas1a_1	
WA4Cas1a_2	
WA4Cas1a_3	
WA4Cas1b_1	
WA4Cas1b_2	
WA4Cas1b_3	
WA4Cas2_1	
WA4Cas2_2	
WA4Cas2_3	
WA4Cas3_1	
WA4Cas3_2	
WA4Cas3_3	
WA4Cent1_1	
WA4Cent1_2	
WA4Cent1_3	
9.14.18_CalEX.D	
9.14.18_CalHG.D	
9.14.18_PCRWater.D	
9.14.18_Zymo.D	
ARSI1.40.2	
ARSI1.40.3	
ARSI2.80.2	
ARSI2.80.3	
ARSI3.160.2	
ARSI3.160.3	
ARSI4.240.2	
ARSI4.240.3	
ARSII1.40.2	
ARSII1.40.3	
ARSII2.80.2	
ARSII2.80.3	
ARSII3.160.2	
ARSII3.160.3	
ARSII4.240.2	
ARSII4.240.3	
ARSIII1.40.2	
ARSIII1.40.3	
ARSIII2.80.2	
ARSIII2.80.3	
ARSIII3.160.2	
ARSIII3.160.3	
ARSIII4.240.2	
ARSIII4.240.3	
ARSIV1.40.2	
ARSIV1.40.3	
ARSIV2.80.2	
ARSIV2.80.3	
ARSIV3.160.2	
ARSIV3.160.3	
ARSIV4.240.2	
ARSIV4.240.3	
NRCSMockv2-1	
NRCSMockv2-2	
NRCSMockv2-3	
NRCSZymoMock-4	
NRCSZymomock-1	
NRCSZymomock-2	
10b	
10c	
11b	
11c	
12b	
12c	
13b	
13c	
14b	
14c	
15b	
15c	
16b	
16c	
18b	
18c	
19b	
19c	
20b	
20c	
21b	
21c	
22b	
22c	
23b	
23c	
24b	
24c	
26b	
26c	
27b	
27c	
29b	
29c	
2b	
2c	
30b	
30c	
31b	
31c	
32b	
32c	
33b	
33c	
34b	
34c	
35b	
35c	
36b	
36c	
37b	
37c	
38b	
38c	
39b	
39c	
41b	
41c	
42b	
42c	
43b	
43c	
44b	
44c	
45b	
45c	
46b	
46c	
47b	
47c	
48b	
48c	
49b	
49c	
4b	
4c	
50b	
50c	
51b	
51c	
52b	
52c	
54b	
54c	
55b	
55c	
56b	
56c	
57b	
57c	
58b	
58c	
63b	
63c	
6Sep2018ARDECDM	
6Sep2018ARDECcheck	
6Sep2018Cal1	
6Sep2018Cal7	
6Sep2018ZymoA	
6Sep2018ZymoB	
72b	
72c	
73b	
73c	
74b	
74c	
75b	
75c	
76b	
76c	
77b	
77c	
9b	
9c	
